holding_pressure;holding_pressure_time;melt_temp;mold_temp;cooling_time;volume_flow;max_deformation;lego
173;14.1;226;54;18.3;199.635;0.9266135693;4x1_Lego
527;14.1;226;54;18.3;100.635;0.6946622133;4x1_Lego
527;14.1;226;54;18.3;199.635;0.6963056921999999;4x1_Lego
173;14.1;254;54;18.3;100.635;0.9283761978;4x1_Lego
173;14.1;254;54;18.3;199.635;0.9298653603;4x1_Lego
527;14.1;254;54;18.3;100.635;0.7214421630000001;4x1_Lego
527;14.1;254;54;18.3;199.635;0.723531127;4x1_Lego
173;4.9;226;26;29.7;100.635;0.7208026648;4x1_Lego
173;4.9;226;26;29.7;199.635;0.7334877849;4x1_Lego
527;4.9;226;26;29.7;100.635;0.5218685269000001;4x1_Lego
527;4.9;226;26;29.7;199.635;0.5338913202000001;4x1_Lego
173;4.9;254;26;29.7;100.635;0.8811234236000001;4x1_Lego
173;4.9;254;26;29.7;199.635;0.8989921212;4x1_Lego
527;4.9;254;26;29.7;100.635;0.6686014533;4x1_Lego
527;4.9;254;26;29.7;199.635;0.6836850047;4x1_Lego
173;4.9;226;54;29.7;100.635;1.006950617;4x1_Lego
173;4.9;226;54;29.7;199.635;1.015864253;4x1_Lego
527;4.9;226;54;29.7;100.635;0.7380393147000001;4x1_Lego
527;4.9;226;54;29.7;199.635;0.7551159262999999;4x1_Lego
173;4.9;254;54;29.7;100.635;1.169883966;4x1_Lego
173;4.9;254;54;29.7;199.635;1.187681437;4x1_Lego
527;4.9;254;54;29.7;100.635;0.9024323821;4x1_Lego
527;4.9;254;54;29.7;199.635;0.9291805029000001;4x1_Lego
173;14.1;226;26;29.7;100.635;0.6670498252;4x1_Lego
173;14.1;226;26;29.7;199.635;0.6600554585;4x1_Lego
527;14.1;226;26;29.7;100.635;0.5227208138;4x1_Lego
527;14.1;226;26;29.7;199.635;0.5223979950000001;4x1_Lego
173;14.1;254;26;29.7;100.635;0.6471652389;4x1_Lego
173;14.1;254;26;29.7;199.635;0.6415017247;4x1_Lego
527;14.1;254;26;29.7;100.635;0.5475684404;4x1_Lego
527;14.1;254;26;29.7;199.635;0.5485061407;4x1_Lego
173;14.1;226;54;29.7;100.635;0.8747000694;4x1_Lego
173;14.1;226;54;29.7;199.635;0.8749532104000001;4x1_Lego
527;14.1;226;54;29.7;100.635;0.6464216113;4x1_Lego
527;14.1;226;54;29.7;199.635;0.6458054781;4x1_Lego
173;14.1;254;54;29.7;100.635;0.8724569081999999;4x1_Lego
173;14.1;254;54;29.7;199.635;0.8723780512999999;4x1_Lego
527;14.1;254;54;29.7;100.635;0.6550835371;4x1_Lego
527;14.1;254;54;29.7;199.635;0.6664146185000001;4x1_Lego
350;9.5;240;40;24.0;150.135;0.6741606593;4x1_Lego
350;9.5;240;40;24.0;220.135;0.6741387844000001;4x1_Lego
350;9.5;240;40;24.0;80.135;0.6741026640000001;4x1_Lego
600;9.5;240;40;24.0;150.135;0.6031906604999999;4x1_Lego
100;9.5;240;40;24.0;150.135;0.8206090331;4x1_Lego
350;9.5;260;40;24.0;150.135;0.722247541;4x1_Lego
350;9.5;220;40;24.0;150.135;0.6770421862999999;4x1_Lego
350;9.5;240;60;24.0;150.135;0.8355292081999999;4x1_Lego
350;9.5;240;20;24.0;150.135;0.5981169343;4x1_Lego
350;16.0;240;40;24.0;150.135;0.6739074587999999;4x1_Lego
350;3.0;240;40;24.0;150.135;1.029599309;4x1_Lego
350;9.5;240;40;31.989;150.135;0.6602282524;4x1_Lego
350;9.5;240;40;16.011;150.135;0.7387136220999999;4x1_Lego
350;9.5;240;40;24.0;220.128;0.7405434251;4x2_Lego
350;9.5;240;40;24.0;80.128;0.7383271456;4x2_Lego
600;9.5;240;40;24.0;150.128;0.5721015930000001;4x2_Lego
100;9.5;240;40;24.0;150.128;0.931189537;4x2_Lego
350;9.5;260;40;24.0;150.128;0.7852317690999999;4x2_Lego
350;9.5;220;40;24.0;150.128;0.7419725656999999;4x2_Lego
350;9.5;240;60;24.0;150.128;0.9062292576;4x2_Lego
350;9.5;240;20;24.0;150.128;0.5953649282;4x2_Lego
350;16.0;240;40;24.0;150.128;0.7376924156999999;4x2_Lego
350;3.0;240;40;24.0;150.128;1.2255977390000001;4x2_Lego
350;9.5;240;40;31.989;150.128;0.7226201295999999;4x2_Lego
350;9.5;240;40;16.011;150.128;0.8015912770999999;4x2_Lego
173;4.9;226;26;18.3;100.62799999999999;0.8841968179;4x2_Lego
173;4.9;226;26;18.3;199.628;0.8996722698;4x2_Lego
527;4.9;226;26;18.3;100.62799999999999;0.6097582579;4x2_Lego
527;4.9;226;26;18.3;199.628;0.6283141971;4x2_Lego
173;4.9;254;26;18.3;100.62799999999999;1.068585157;4x2_Lego
173;4.9;254;26;18.3;199.628;1.101143599;4x2_Lego
527;4.9;254;26;18.3;100.62799999999999;0.7815636992;4x2_Lego
527;4.9;254;26;18.3;199.628;0.8168258071000001;4x2_Lego
173;4.9;226;54;18.3;100.62799999999999;1.133492112;4x2_Lego
173;4.9;226;54;18.3;199.628;1.166327953;4x2_Lego
527;4.9;226;54;18.3;100.62799999999999;0.8114864826;4x2_Lego
527;4.9;226;54;18.3;199.628;0.8358825445;4x2_Lego
173;4.9;254;54;18.3;100.62799999999999;1.3704279659999998;4x2_Lego
173;4.9;254;54;18.3;199.628;1.414427996;4x2_Lego
527;4.9;254;54;18.3;100.62799999999999;1.027572989;4x2_Lego
527;4.9;254;54;18.3;199.628;1.058104753;4x2_Lego
173;14.1;226;26;18.3;100.62799999999999;0.7996988297000001;4x2_Lego
173;14.1;226;26;18.3;199.628;0.8034250140000001;4x2_Lego
527;14.1;226;26;18.3;100.62799999999999;0.5424118042;4x2_Lego
527;14.1;226;26;18.3;199.628;0.5453022122;4x2_Lego
173;14.1;254;26;18.3;100.62799999999999;0.8128712176999999;4x2_Lego
173;14.1;254;26;18.3;199.628;0.8170207143000001;4x2_Lego
527;14.1;254;26;18.3;100.62799999999999;0.5420542359;4x2_Lego
527;14.1;254;26;18.3;199.628;0.5476339459;4x2_Lego
173;14.1;226;54;18.3;100.62799999999999;1.004891038;4x2_Lego
173;14.1;226;54;18.3;199.628;1.00675416;4x2_Lego
527;14.1;226;54;18.3;100.62799999999999;0.726547122;4x2_Lego
527;14.1;226;54;18.3;199.628;0.7292947769;4x2_Lego
173;14.1;254;54;18.3;100.62799999999999;1.0167045590000001;4x2_Lego
173;14.1;254;54;18.3;199.628;1.0200876;4x2_Lego
527;14.1;254;54;18.3;100.62799999999999;0.7287575006;4x2_Lego
527;14.1;254;54;18.3;199.628;0.7310574055;4x2_Lego
173;4.9;226;26;29.7;100.62799999999999;0.8429463506;4x2_Lego
